t,theta_student,phi_student,theta_reference,phi_reference
1.570000000000000062e+00,4.878088055221605490e-01,2.832308825068948099e+00,-3.323215120591220262e-01,5.048939122402352986e+00
1.580000000000000071e+00,4.690958706190096472e-01,2.909526419285849652e+00,-3.275072936449197614e-01,5.093685510345363099e+00
1.590000000000000080e+00,4.496194380874319330e-01,2.987627611432133623e+00,-3.222336311351441940e-01,5.137331141394860801e+00
1.600000000000000089e+00,4.296229254727671476e-01,3.066330735727200718e+00,-3.165377832388110435e-01,5.179895995357870930e+00
1.610000000000000098e+00,4.093367818826164628e-01,3.145369112025918845e+00,-3.104570086649360849e-01,5.221400052041418327e+00
1.620000000000000107e+00,3.890702367944428031e-01,3.224384826265913606e+00,-3.040285661225349267e-01,5.261863291252530495e+00
1.630000000000000115e+00,3.691211989754377143e-01,3.303033048102982594e+00,-2.972897143206233994e-01,5.301305692798232272e+00
1.640000000000000124e+00,3.497218969164310742e-01,3.381044913786456441e+00,-2.902697055231920342e-01,5.339738065478681683e+00
1.650000000000000133e+00,3.311045591082528716e-01,3.458151559565664890e+00,-2.830144888699374639e-01,5.377184888284487485e+00
1.660000000000000142e+00,3.134783206685839430e-01,3.534111366764486561e+00,-2.755548913661720611e-01,5.413652645284261489e+00
1.669999999999999929e+00,2.970494049783659607e-01,3.608685439223366487e+00,-2.679210910838236148e-01,5.449147121389707138e+00
1.679999999999999938e+00,2.819210663372512804e-01,3.681755727116518440e+00,-2.601432660948194142e-01,5.483674101512531429e+00
1.689999999999999947e+00,2.681580564498011743e-01,3.753249615323019039e+00,-2.522515944710873592e-01,5.517239370564437806e+00
1.699999999999999956e+00,2.558251270205765815e-01,3.823094488721947570e+00,-2.442762542845549611e-01,5.549848713457129712e+00
1.709999999999999964e+00,2.449694613756692452e-01,3.891237973422406071e+00,-2.362474236071499534e-01,5.581507915102312367e+00
1.719999999999999973e+00,2.356074036800713534e-01,3.957666326777542931e+00,-2.281952805107999027e-01,5.612222760411690103e+00
1.729999999999999982e+00,2.277144875096310528e-01,4.022412126874399974e+00,-2.201181508285944555e-01,5.642021460012418110e+00
1.739999999999999991e+00,2.212598039468302025e-01,4.085515049821881739e+00,-2.120887849883539289e-01,5.670870561821882205e+00
1.750000000000000000e+00,2.162124440741505782e-01,4.147014771728892768e+00,-2.041332254101313193e-01,5.698771635040863259e+00
1.760000000000000009e+00,2.125335923362703661e-01,4.206957721222846835e+00,-1.962665209435242863e-01,5.725734579815534353e+00
1.770000000000000018e+00,2.101711107699081316e-01,4.265410928426240034e+00,-1.885037204381305731e-01,5.751769296292071232e+00
1.780000000000000027e+00,2.090676932635292806e-01,4.322436913425565130e+00,-1.808598727435478393e-01,5.776885684616647865e+00
1.790000000000000036e+00,2.091657334312742866e-01,4.378097932145481153e+00,-1.733500267093738556e-01,5.801093644935437332e+00
1.800000000000000044e+00,2.104077067991194372e-01,4.432455589823232067e+00,-1.659892311852062541e-01,5.824403077394615380e+00
1.810000000000000053e+00,2.127343581549916984e-01,4.485570139259741573e+00,-1.587925350206427777e-01,5.846823882140354200e+00
1.820000000000000062e+00,2.160839166015181834e-01,4.537505011644193509e+00,-1.517749870652811417e-01,5.868365959318829539e+00
1.830000000000000071e+00,2.203972487710985917e-01,4.588307150462823003e+00,-1.449516361687190336e-01,5.889039209076214476e+00
1.840000000000000080e+00,2.256152212961326786e-01,4.638023499201862521e+00,-1.383375311805541408e-01,5.908853531558683869e+00
